Project Name: Application Tracking System,,,
https://github.com/kingan1/application-tracking-system,,,
Group No 69,Total,73,
Questions,Evidence,Rating,
Video,https://github.com/kingan1/application-tracking-system  Video Explaining the project,3,
Workload is spread over the whole team (one team member is often Xtimes more productive than the others...,https://github.com/kingan1/application-tracking-system/graphs/contributors,3,
"but nevertheless, here is a track record that everyone is contributing a lot)",,,
Number of commits,https://github.com/kingan1/application-tracking-system/commits/main,3,
Number of commits: by different people,https://github.com/kingan1/application-tracking-system/graphs/contributors,3,
Issues reports: there are many,https://github.com/kingan1/application-tracking-system/issues,3,
Issues are being closed,https://github.com/kingan1/application-tracking-system/issues?q=is%3Aissue+is%3Aclosed,3,
DOI badge: exists,https://zenodo.org/record/5750920,3,
"Docs: doco generated, format not ugly",https://github.com/kingan1/application-tracking-system/tree/main/docs,3,
Docs: what: point descriptions of each class/function (in isolation),https://github.com/kingan1/application-tracking-system/blob/main/docs/app.md,2,
"Docs: how: for common use cases X,Y,Z mini-tutorials showing worked examples on how to do X,Y,Z",Few basic examples are included in video as well docs,2,
"Docs: why: docs tell a story, motivate the whole thing, deliver a punchline that makes you want to rush out and use the thing",,2,
"Docs: short video, animated, hosted on your repo. That convinces people why they want to work on your code.",Tutorial Video,3,
Use of version control tools,Github is used from start,3,
Use of style checkers,Pylint module used to keep a check on this,2,
Use of code formatters.,Pylint module used to keep a check on this,2,
Use of syntax checkers.,Pylint module used to keep a check on this,2,
Use of code coverage,https://app.codecov.io/gh/kingan1/application-tracking-system,2,
Other automated analysis tools,,3,
Test cases exist,https://github.com/kingan1/application-tracking-system/blob/main/docs/test_app.md,1,
Test cases are routinely executed,https://github.com/kingan1/application-tracking-system/actions/workflows/pytest_ci.yml,2,
The files CONTRIBUTING.md lists coding standards and lots of tips on how to extend the system without screwing things up,https://github.com/kingan1/application-tracking-system/blob/main/Contributing.md,3,
Issues are discussed before they are closed,Issues have one or two comments on an average,2,
Chat channel: exists,GH,1,
Test cases: a large proportion of the issues related to handling failing cases.,GH,3,
Evidence that the whole team is using the same tools: everyone can get to all tools and files,tools and files required are psoted on GH and are open source ,3,
"Evidence that the whole team is using the same tools (e.g. config files in the repo, updated by lots of different people)",https://github.com/kingan1/application-tracking-system/commits/main/requirements.txt,3,
"Evidence that the whole team is using the same tools (e.g. tutor can ask anyone to share screen, they demonstrate the system running on their computer)",https://github.com/kingan1/application-tracking-system/blob/main/Software%20Documentation.pdf,3,
Evidence that the members of the team are working across multiple places in the code base,https://github.com/kingan1/application-tracking-system/graphs/contributors?from=2021-09-19&to=2023-09-15&type=a,3,
Short release cycles,https://github.com/kingan1/application-tracking-system/releases,2,
,,,
,,,
Questions,Evidence,Rating (if any),Response 
,,,
Q1 - What your software does,,,
"Question 1.1: Does your website and documentation provide a clear, high-level overview of your software?*",https://github.com/kingan1/application-tracking-system,3,yes
Question 1.2: Does your website and documentation clearly describe the type of user who should use your software?*,https://github.com/kingan1/application-tracking-system,3,yes
Question 1.3: Do you publish case studies to show how your software has been used by yourself and others?*,,,no
,,,
,,,
Q2 - Your project's and software's identity,,,
Question 2.1: Is the name of your project/software unique?*,,,yes
Question 2.2: Is your project/software name free from trademark violations?*,,,no
,,,
,,,
Q3 - Availability of your software,,,
Question 3.1: Is your software available as a package that can be deployed without building it?*,,,yes
Question 3.2: Is your software available for free?*,open source,,yes
"Question 3.3: Is your source code publicly available to download, either as a downloadable bundle or via access to a source code repository?*",GH,,yes
"Question 3.4: Is your software hosted in an established, third-party repository likeGitHub (https://github.com), BitBucket (https://bitbucket.org),LaunchPad (https://launchpad.net) orSourceForge (https://sourceforge.net)?*",GitHub,,yes
,,,
,,,
Q4 - Your software's documentation,,,
Question 4.1: Is your documentation clearly available on your website or within your software?*,On Github,,yes
"Question 4.2: Does your documentation include a ""quick start"" guide, that provides a short overview of how to use your software with some basic examples of use?*",On Github,,yes
"Question 4.3: If you provide more extensive documentation, does this provide clear, step-by-step instructions on how to deploy and use your software?*",On Github,,yes
"Question 4.4: Do you provide a comprehensive guide to all your software’s commands, functions and options?*",On Github,,yes
Question 4.5: Do you provide troubleshooting information that describes the symptoms and step-by-step solutions for problems and error messages?*,,,no
"Question 4.6: If your software can be used as a library, package or service by other software, do you provide comprehensive API documentation?*",,,no
Question 4.7: Do you store your documentation under revision control with your source code?*,,,no
"Question 4.8: Do you publish your release history e.g. release data, version numbers, key features of each release etc. on your web site or in your documentation?*",On Github,,yes
,,,
,,,
Q5 - How you support your software,,,
Question 5.1: Does your software describe how a user can get help with using your software?*, On Github (Tutorial Video),,yes
"Question 5.2: Does your website and documentation describe what support, if any, you provide to users and developers?*",,,no
Question 5.3: Does your project have an e-mail address or forum that is solely for supporting users?*,,,no
Question 5.4: Are e-mails to your support e-mail address received by more than one person?*,,,no
Question 5.5: Does your project have a ticketing system to manage bug reports and feature requests?*,On Github,,yes
"Question 5.6: Is your project's ticketing system publicly visible to your users, so they can view bug reports and feature requests?*",On Github,,yes
,,,
,,,
Q6 - Your software's maintainability,,,
Question 6.1: Is your software’s architecture and design modular?*,,,yes
Question 6.2: Does your software use an accepted coding standard or convention?*,,,yes
,,,
,,,
Q7 - Open standards and your software,,,
"Question 7.1: Does your software allow data to be imported and exported using open data formats?* e.g. GIF, SVG, HTML, XML, tar, zip, CSV, JSON, NetCDF, or domain specific ones",,,no
"Question 7.2: Does your software allow communications using open communications protocols?* e.g. HTTP, FTP, XMPP, SOAP over HTTP,  or domain-specific ones",,,no
,,,
,,,
Q8 - Your software's portability,,,
"Question 8.1: Is your software cross-platform compatible?* e.g. does it run under two or more of Windows, Unix/Linux and Mac OS X, or can be used from within two or more of Internet Explorer, Chrome, Firefox and Safari?",,,no
,,,
,,,
Q9 - Your software and accessibility,,,
Question 9.1: Does your software adhere to appropriate accessibility conventions or standards?*,,,yes
Question 9.2: Does your documentation adhere to appropriate accessibility conventions or standards?*,,,yes
,,,
,,,
Q10 - How you manage your source code,,,
Question 10.1: Is your source code stored in a repository under revision control?*,On Github,,yes
Question 10.2: Is each source code release a snapshot of the repository?*,On Github,,yes
Question 10.3: Are releases tagged in the repository?*,On Github,,yes
"Question 10.4: Is there a branch of the repository that is always stable? (i.e. tests always pass, code always builds successfully)*",On Github,,yes
Question 10.5: Do you back-up your repository?*,,,no
,,,
,,,
Q11 - Building and installing your software,,,
Question 11.1: Do you provide publicly-available instructions for building your software from the source code?*,On Github,,yes
"Question 11.2: Can you build, or package, your software using an automated tool?*e.g. Make (https://www.gnu.org/software/make/), ANT (http://ant.apache.org/), Maven (https://maven.apache.org/), CMake (https://cmake.org/), Python setuptools (https://pypi.python.org/pypi/setuptools), or R package tools (https://cran.r-project.org/doc/manuals/r-devel/R-exts.html)",,,yes
Question 11.3: Do you provide publicly-available instructions for deploying your software?*,,,yes
Question 11.4: Does your documentation list all third-party dependencies?*,,,yes
Question 11.5: Does your documentation list the version number for all third-party dependencies?*,,,yes
"Question 11.6: Does your software list the web address, and licences for all third-party dependencies and say whether the dependencies are mandatory or optional?*",,,yes
"Question 11.7: Can you download dependencies using a dependency management tool or package manager?*e.g. Ivy (http://ant.apache.org/ivy/), Maven (https://maven.apache.org/), Python pip (https://pypi.python.org/pypi/pip) or setuptools (https://pypi.python.org/pypi/setuptools), PHP Composer (https://getcomposer.org/), Ruby gems (https://rubygems.org), or R PackRat (https://rstudio.github.io/packrat/)",,,yes
Question 11.8: Do you have tests that can be run after your software has been built or deployed to show whether the build or deployment has been successful?*,,,yes
,,,
,,,
Q12 - How you test your software,,,
Question 12.1: Do you have an automated test suite for your software?*,Github Actions,,yes
Question 12.2: Do you have a framework to periodically (e.g. nightly) run your tests on the latest version of the source code?*,Github Actions,,yes
"Question 12.3: Do you use continuous integration, automatically running tests whenever changes are made to your source code?*",Github Actions,,yes
Question 12.4: Are your test results publicly visible?*,Github Actions,,yes
Question 12.5: Are all manually-run tests documented?*,,,no
,,,
,,,
Q13 - How you engage with your community,,,
"Question 13.1: Does your project have resources (e.g. blog, Twitter, RSS feed, Facebook page, wiki, mailing list) that are regularly updated with information about your software?* e.g. release announcements, publications, workshops, conference presentations",,,no
Question 13.2: Does your website state how many projects and users are associated with your project?*,,,no
Question 13.3: Do you provide success stories on your website?*,,,no
Question 13.4: Do you list your important partners and collaborators on your website?*,Github,,yes
Question 13.5: Do you list your project's publications on your website or link to a resource where these are available?*,,,no
Question 13.6: Do you list third-party publications that refer to your software on your website or link to a resource where these are available?*,,,no
Question 13.7: Can users subscribe to notifications to changes to your source code repository?*,,,no
"Question 13.8: If your software is developed as an open source project (and, not just a project developing open source software), do you have a governance model?*",Yes,,yes
,,,
,,,
Q14 - How you manage contributions,,,
"Question 14.1: Do you accept contributions (e.g. bug fixes, enhancements, documentation updates, tutorials) from people who are not part of your project?*",yes,,yes
Question 14.2: Do you have a contributions policy?*, CONTRIBUTING.md,,yes
Question 14.3: Is your contributions' policy publicly available?*, CONTRIBUTING.md,,yes
Question 14.4: Do contributors keep the copyright/IP of their contributions?*,,,yes
,,,
,,,
Q15 - Your software's copyright and licensing,,,
Question 15.1: Does your website and documentation clearly state the copyright owners of your software and documentation?*,MIT License,,yes
Question 15.2: Does each of your source code files include a copyright statement?*,,,yes
Question 15.3: Does your website and documentation clearly state the licence of your software?*,,,yes
Question 15.4: Is your software released under an open source licence?*,,,yes
Question 15.5: Is your software released under an OSI-approved open-source licence?*,,,yes
Question 15.6: Does each of your source code files include a licence header?*,,,yes
Question 15.7: Do you have a recommended citation for your software?*,,,yes
,,,
,,,
Q16 - Your plans for the future,,,
"Question 16.1: Does your website or documentation include a project roadmap (a list of project and development milestones for the next 3, 6 and 12 months)?*",Github,,yes
"Question 16.2: Does your website or documentation describe how your project is funded, and the period over which funding is guaranteed?*",,,no
"Question 16.3: Do you make timely announcements of the deprecation of components, APIs, etc.?*",,,no